id,trade,task,do,check,outputs,status
0.1,GENERAL,Mobilize & site controls,"Install fencing/controls, access/laydown, post plan",Controls continuous; access firm,"Site ready, daily report started",pending
1.1,EARTHWORK,Excavate to subgrade,Excavate per plan; stockpile; protect,Elevation within tolerance; safe slopes,Subgrade ready,pending
1.2,EARTHWORK,Subgrade compaction,Compact per geotech,Pass density; proof-roll,Compaction report,pending
1.3,CONCRETE,Footing forms & sleeves,Set forms; place sleeves/embeds,Forms square; sleeves located,Forms ready,pending
1.4,REBAR,Tie footing rebar,Tie rebar; chairs; clear cover,"Cover 3"" to earth, 1.5"" forms",Rebar inspection passed,pending
1.5,CONCRETE,Anchor bolts/holdowns,Place anchors/holdowns per schedule,Locations per plan; embed depth met,Anchors fixed,pending
1.6,CONCRETE,Pour footings,Place/finish/cure; cylinders,Slump/air within spec; cure started,Footings in place,pending
1.7,PLUMB-UG,Underground plumbing,Lay DWV; slope; bed/cover,"Slope 1/4""/ft (≤3""); test",UG inspection passed,pending
1.8,ELEC-UG,Underground electrical,Conduit trenches; sweeps; pull string,Depth; warning tape,UG inspection passed,pending
1.9,CONCRETE,Slab prep,VB lapped/taped; WWM/rebar; chairs,"VB seams ≥6""; cover",Slab ready,pending
1.10,CONCRETE,Slab pour & finish,Place/finish; sawcut,Flatness/level; curing,Slab complete,pending
2.1,FRAMING,Sill plates & first walls,Layout; plates; studs,Anchor bolt fit; straight walls,First lift complete,pending
2.2,FRAMING,Floors & joists,Set beams/joists/blocking,Bearing/hanger nails; level,Framed floor,pending
2.3,FRAMING,Shearwalls & straps,Sheathing; nailing; straps,Nail pattern per schedule,Shear complete,pending
2.4,FRAMING,Trusses/Roof frame,Set trusses/rafters; bracing,Layout; bracing; plumb,Roof framed,pending
2.5,FRAMING,Stairs & openings,Frame openings; stairs,Dims true; guards,Openings complete,pending
3.1,ENVELOPE,WRB & flashing,Install WRB; flash openings,"Laps 4""/6""; order sill→jamb→set→head",WRB complete,pending
3.2,WINDOWS,Window install,Set/level; fasten; flash head,Per mfr; water test sample,Windows in,pending
3.3,DOORS,Exterior door install,Set/level; thresholds; flash,Per mfr; clearance,Doors in,pending
3.4,ROOF,Underlayment & flashings,Dry-in; valleys; boots,"Laps 4""/6""; sealed",Roof dry-in,pending
3.5,SIDING,Cladding start,Starter/vents; fasten per spec,Clearances; fasteners,Cladding underway,pending
4.1,ELECTRICAL,Panel & homeruns,Set panel; homeruns/circuits,Clear space 30x36; labeling,Panel rough done,pending
4.2,ELECTRICAL,Devices & lighting rough,Boxes set depth; layout,Heights; AFCI/GFCI; box fill,Device rough done,pending
4.3,PLUMBING,Supply/vent/drain rough,Piping; vents; cleanouts,Slopes/supports; tests,Plumbing rough done,pending
4.4,MECHANICAL,Ducts & equipment rough,Ducts; returns; equipment pads,Sealed; clearances; condensate,Mech rough done,pending
4.5,FIRESTOP,Fire/smoke sealing,Seal penetrations rated walls,Listed products; continuity,Firestop complete,pending
5.1,INSULATION,Insulate & air seal,Install per R; seal gaps,Full fill; baffles,Insulation done,pending
5.2,DRYWALL,Hang & tape,Hang per patterns; tape,Type X at rated; joints,Close-in passed,pending
6.1,FINISHES,Flooring & tile,Prep; install; cure,Flatness; moisture,Floors complete,pending
6.2,FINISHES,Trim & paint,Trim/doors; paint,Reveals; finish quality,Trim/paint done,pending
6.3,FIXTURES,Set plumbing/electrical,Set trims/devices; test,No leaks; function,Trims set,pending
7.1,SITE,Flatwork & grading,Forms; pour; grade,Slopes; joints,Flatwork/grading done,pending
7.2,LANDSCAPE,Planting/irrigation,Set plants; irrigation,Coverage; backflow,Landscape complete,pending
8.1,COMMISSION,Startup & tests,Start equipment; balance,Reports complete,Systems started,pending
8.2,CLOSEOUT,Punch & handover,Punch; clean; O&M; train,Signed docs; CO,Handover complete,pending
